S3 探针物体 `column` · 1440 episode，成功 948 (65.8%)

原语               条数    成功     脱手%     打中位点%     面接触度     工作面%     侧边%     力N     峰值N     位移mm     转角°     关节Δ
pinch_turn      206   202     8.6     100.0    0.984     99.0     0.2  14.47   45.93    221.8    85.6   0.000
pivot           206    80    55.7      84.3    0.929     77.0    11.2   6.50   97.30    296.0   150.5   0.000
poke            206   206    76.3     100.0    0.973      0.0     0.0   1.06   13.31    193.3    23.2   0.000
press           206   193     6.0      95.6    0.950     94.2     5.8   3.33   10.52     35.6    10.3   0.000
push            206    25    45.7      99.9    0.901     20.3    10.5   3.66   46.19    590.8   102.6   0.000
slide_push      205    47    33.4     100.0    0.937     10.4     5.0   3.16   31.94    519.7    83.5   0.000
twist           205   195    10.0     100.0    0.985     98.4     0.9  13.82   50.16     62.1    49.4   0.000

接触模式分布（按法向力加权，`plan/02` §3.4）
  no_contact       0.00%
  sticking        62.86%
  sliding          8.44%
  separating      28.70%

  invalid_frame_fraction           0.0039
  pd_saturation_fraction           0.0168
  mean_orientation_error_deg       6.8484
  mean_contacts_per_frame          1.1124
  plate_z_side_mm                  1.9135
  face_normal_align                0.9513

划分（按 episode，P-10）
  train                     711
  calibration                95
  in_distribution_test      142
  unseen_physics_test         0
  unseen_geometry_test        0
  unseen_strategy_test        0
  unseen_implementation_test    0
  failed                    492

失败原因分布
  操作阶段脱手过多                  344
  物体被推翻而不是推移                283
  接触没打在指定位点上                 68
  拿边角在蹭而不是用平面接触              58
  脏帧过多                       17
  物体本不该明显移动                  13
  物体没有被转动                     8
