S3 探针物体 `dial` · 600 episode，成功 600 (100.0%)

原语               条数    成功     脱手%     打中位点%     面接触度     工作面%     侧边%     力N     峰值N     位移mm     转角°     关节Δ
crank           200   200     3.6     100.0    0.850     90.0    10.0   3.37   33.73      0.0     0.0   1.385
poke            200   200    73.0     100.0    1.000    100.0     0.0   2.75   23.59      0.0     0.0   0.000
press           200   200     0.0     100.0    1.000    100.0     0.0   3.26    2.71      0.0     0.0   0.000

接触模式分布（按法向力加权，`plan/02` §3.4）
  no_contact       0.00%
  sticking        44.64%
  sliding          8.72%
  separating      46.65%

  invalid_frame_fraction           0.0000
  pd_saturation_fraction           0.0000
  mean_orientation_error_deg       3.2695
  mean_contacts_per_frame          1.3284
  plate_z_side_mm                  1.4543
  face_normal_align                0.9501

划分（按 episode，P-10）
  train                     379
  calibration                51
  in_distribution_test       76
  unseen_physics_test        94
  unseen_geometry_test        0
  unseen_strategy_test        0
  unseen_implementation_test    0
  failed                      0
