S3 探针物体 `slab` · 840 episode，成功 840 (100.0%)

原语               条数    成功     脱手%     打中位点%     面接触度     工作面%     侧边%     力N     峰值N     位移mm     转角°     关节Δ
poke            210   210    73.1     100.0    1.000    100.0     0.0   2.66   20.20      0.0     0.0   0.000
press           210   210     0.0     100.0    1.000    100.0     0.0   3.32    2.33      0.0     0.0   0.000
rub             210   210     0.0     100.0    1.000    100.0     0.0   3.14    2.42      0.0     0.0   0.000
shear           210   210     0.0     100.0    1.000    100.0     0.0   4.19    2.64      0.0     0.0   0.000

接触模式分布（按法向力加权，`plan/02` §3.4）
  no_contact       0.00%
  sticking        45.13%
  sliding          0.00%
  separating      54.87%

  invalid_frame_fraction           0.0000
  pd_saturation_fraction           0.0000
  mean_orientation_error_deg       0.0068
  mean_contacts_per_frame          1.7366
  plate_z_side_mm                  1.5174
  face_normal_align                1.0000

划分（按 episode，P-10）
  train                     630
  calibration                84
  in_distribution_test      126
  unseen_physics_test         0
  unseen_geometry_test        0
  unseen_strategy_test        0
  unseen_implementation_test    0
  failed                      0
