S3 探针物体 `slider` · 1260 episode，成功 1260 (100.0%)

原语               条数    成功     脱手%     打中位点%     面接触度     工作面%     侧边%     力N     峰值N     位移mm     转角°     关节Δ
hook_pull       210   210     0.0     100.0    1.000    100.0     0.0   4.40   10.98      0.0     0.0   0.075
pinch_hold      210   210     0.0     100.0    1.000    100.0     0.0   5.91    2.61      0.0     0.0   0.000
pinch_move      210   210     0.0     100.0    1.000    100.0     0.0   5.18    2.83      0.0     0.0   0.046
poke            210   210    60.3     100.0    0.986     98.9     1.1   2.64   18.05      0.0     0.0   0.075
press           210   210     0.0     100.0    1.000    100.0     0.0   3.36    2.34      0.0     0.0   0.000
slide_along     210   210     0.0     100.0    1.000    100.0     0.0   4.30   10.97      0.0     0.0   0.075

接触模式分布（按法向力加权，`plan/02` §3.4）
  no_contact       0.00%
  sticking        37.59%
  sliding          0.02%
  separating      62.40%

  invalid_frame_fraction           0.0000
  pd_saturation_fraction           0.0000
  mean_orientation_error_deg       0.5384
  mean_contacts_per_frame          2.5322
  plate_z_side_mm                  1.4935
  face_normal_align                0.9976

划分（按 episode，P-10）
  train                     808
  calibration               108
  in_distribution_test      162
  unseen_physics_test       182
  unseen_geometry_test        0
  unseen_strategy_test        0
  unseen_implementation_test    0
  failed                      0
