S3 擦拭双板 source · 2700 episode，成功 2606 (96.5%)

家族                   条数    成功     清除%     脱手%      力在区间%     区域内%     力N     工具滑脱mm
direct_wipe         450   373    75.1     0.0       82.9     85.3   4.73        0.0
tool_center         450   450    88.1     0.0       91.6     92.1   6.31        0.6
tool_heavy_slow     450   433    78.6     0.0       84.9     92.3   6.74        0.6
tool_light_fast     450   450    91.8     0.0       92.5     92.1   6.13        0.7
tool_offset         450   450    88.1     0.0       92.3     92.0   6.23        0.6
tool_tilt           450   450    88.4     0.0       90.5     92.1   6.28        0.6

接触模式分布（按法向力加权，`plan/02` §3.4）
  no_contact       0.00%
  sticking        15.55%
  sliding         44.49%
  separating      39.96%

  peak_point_force_N               2.7213
  invalid_frame_fraction           0.0000
  mean_orientation_error_deg       0.6800
  mean_contacts_per_frame          4.9654

划分（按 episode，P-10）
  train                     950
  calibration               127
  in_distribution_test      190
  unseen_physics_test       219
  unseen_geometry_test      297
  unseen_strategy_test      450
  unseen_implementation_test  373
  failed                     94

失败原因分布
  法向力常在允许区间之外                  92
  目标区域没擦干净                     80
